Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
Jesolo 402 2002 23067 34096200 27109800 6986400 1478.137599 1175.263363 302.8742359 0.204902599
Marcon 403 2002 12346 7039560 4730860 2308700 570.1895351 383.1896971 186.999838 0.327960838
Martellago 404 2002 19565 9968640 5257340 4711300 509.5139279 268.7114746 240.8024534 0.472612112
Meolo 405 2002 6199 2149050 1328950 820100 346.6768834 214.3813518 132.2955315 0.381610479
Mira 406 2002 35618 20164200 12118000 8046200 566.12387 340.2212365 225.9026335 0.399033931
Mirano 407 2002 26066 14186100 8973640 5212460 544.2377043 344.2660938 199.9716105 0.36743432
MusilediPiave 408 2002 10388 4012360 1603830 2408530 386.2495187 154.3925683 231.8569503 0.600277642
Noale 409 2002 15048 7756520 4524250 3232270 515.4518873 300.654572 214.7973153 0.416716517
NoventadiPiave 410 2002 6051 2603380 1032710 1570670 430.2396298 170.6676582 259.5719716 0.603319531
Pianiga 411 2002 9309 4011870 1733880 2277990 430.9668063 186.2584596 244.7083468 0.567812516
Portogruaro 412 2002 24629 11999300 9813010 2186290 487.2020789 398.4331479 88.76893094 0.182201462
Pramaggiore 413 2002 4107 1783360 1381320 402040 434.2244948 336.3330898 97.89140492 0.22543962
Quartod'Altino 414 2002 7405 4518210 3864100 654110 610.1566509 521.8230925 88.33355841 0.144771934
Salzano 415 2002 11683 3276280 1242400 2033880 280.431396 106.342549 174.088847 0.620789432
SanDonàdiPiave 416 2002 35896 20965700 13661800 7303900 584.0678627 380.593938 203.4739247 0.348373772
SanMichelealTagliamento 417 2002 11731 21162900 13397100 7765800 1804.015003 1142.025403 661.9896002 0.366953489
SantaMariadiSala 418 2002 13982 7420830 5155520 2265310 530.7416679 368.7255042 162.0161636 0.305263697
SantoStinodiLivenza 419 2002 11913 6811020 5064840 1746180 571.7300428 425.1523546 146.5776882 0.256375697
Scorzè 420 2002 17707 8744250 4474150 4270100 493.8301237 252.6769074 241.1532162 0.488332333
Spinea 421 2002 24574 11875100 6591070 5284030 483.238382 268.2131521 215.0252299 0.4449672
Stra 422 2002 7103 2536260 1054900 1481360 357.0688442 148.5147121 208.5541321 0.584072611
TeglioVeneto 423 2002 1975 1004610 831498 173112 508.6632911 421.0116456 87.65164557 0.172317616
TorrediMosto 424 2002 4394 2653180 1426720 1226460 603.8188439 324.6973145 279.1215294 0.462260382
Venezia 425 2002 269566 182285000 149665000 32620000 676.2165852 555.2072591 121.0093261 0.178950544
Vigonovo 426 2002 8224 3496580 1766740 1729840 425.1678016 214.8273346 210.3404669 0.494723415
Cavallino-Treporti 581 2002 11912 11936400 7660600 4275800 1002.048355 643.0993956 358.948959 0.358215207
AnnoneVeneto 384 2003 3646 1621930 1091080 530850 444.8518925 299.253977 145.5979155 0.327295259
CampagnaLupia 385 2003 6506 2203710 926760 1276950 338.7196434 142.446972 196.2726714 0.579454647
CampolongoMaggiore 386 2003 9361 3110280 1384260 1726020 332.259374 147.875227 184.384147 0.554940391
Camponogara 387 2003 11535 3849120 1770640 2078480 333.6905072 153.5015171 180.18899 0.539988361
Caorle 388 2003 11660 15621000 11996200 3624800 1339.708405 1028.833619 310.8747856 0.232046604
Cavarzere 389 2003 15391 5787970 2315500 3472470 376.0619843 150.4450653 225.616919 0.599946095
