Comune Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
OspitalediCadore 254 11 11 11 11 0 0 12 12 12 12 0 0 0 6
Pedavena 255 357 333 333 333 338 365 244 112 244 224 173 168 226 313
PerarolodiCadore 256 104 0 0 59 0 0 0 4 0 12 55 43 43 46
Pieved'Alpago 257 1310 1310 1322 1324 1337 1325 214 127 214 1178 161 169 176 1260
PievediCadore 258 2282 2373 2385 2399 2399 2399 993 979 993 1507 1366 1277 1295 1335
PontenelleAlpi 259 777 777 777 808 812 812 179 186 179 172 205 205 221 221
Puosd'Alpago 260 174 174 174 174 178 178 96 96 96 72 72 72 72 153
Quero 261 14 14 14 14 14 14 0 0 0 30 16 24 24 24
RivamonteAgordino 262 106 106 106 106 129 129 39 39 39 107 101 120 118 126
RoccaPietore 263 3529 3724 3742 3755 3965 3897 3901 3863 3901 3712 3888 3799 3843 3864
SanGregorionelleAlpi 264 109 109 117 127 123 129 51 54 51 112 66 71 71 122
SanNicolòdiComelico 265 457 457 457 447 446 446 67 91 67 406 202 211 220 259
SanPietrodiCadore 266 1327 1322 1314 1309 1284 1263 489 459 489 1381 795 774 788 869
SantaGiustina 267 103 103 95 97 106 99 88 90 88 132 181 181 186 197
SanTomasoAgordino 268 26 26 26 75 104 98 101 105 101 171 222 196 220 224
SantoStefanodiCadore 269 2617 2590 2583 2463 2463 2472 1082 1062 1082 2479 1704 1676 1719 1880
SanVitodiCadore 270 3820 3839 3864 3925 3960 3937 1397 1394 1397 1826 2116 1973 2032 2658
Sappada 271 2895 2912 2908 2851 2897 2841 1258 1250 1258 2886 2976 2892 3006 3138
Sedico 272 79 79 79 79 87 87 63 82 63 103 152 138 134 133
SelvadiCadore 273 1840 1852 1862 1913 1944 2354 2240 2222 2240 2265 2287 2259 2274 2331
SerendelGrappa 274 99 87 93 99 105 110 93 103 93 182 116 122 124 175
Sospirolo 275 268 268 281 281 284 284 281 269 281 76 41 44 50 52
Soverzene 276 0 0 0 0 0 0 0 0 0 0 0 0 5 5
Sovramonte 277 765 755 715 719 719 719 190 251 190 792 160 150 144 418
TaibonAgordino 278 452 452 452 452 445 452 427 421 427 217 178 178 180 245
Tambre 279 3605 3609 3609 3949 4185 4008 416 405 416 3805 844 840 845 4016
Trichiana 280 60 60 91 45 48 75 61 71 61 70 72 72 92 115
ValladaAgordina 281 488 486 486 486 486 557 555 525 555 414 308 319 319 419
VallediCadore 282 552 558 551 558 572 572 142 148 142 236 321 336 375 355
Vas 283 33 33 33 38 38 38 18 18 18 38 18 18 18 38
VigodiCadore 284 2047 1995 1995 1995 1893 1870 1806 756 1806 1516 1385 1290 1388 1892
VodoCadore 285 527 527 527 528 528 528 241 245 241 156 188 184 183 265
VoltagoAgordino 286 954 954 954 952 923 939 890 914 890 561 495 481 466 527
ZoldoAlto 287 4141 4169 4149 4081 4181 4156 4097 4174 4097 4238 2954 2714 2753 2964
ZoppèdiCadore 288 80 80 80 66 0 45 25 25 25 24 34 14 14 45
Altivole 289 0 0 0 0 0 3 14 19 14 28 52 54 69 69
Arcade 290 0 0 0 0 0 0 0 0 0 0 0 0 0 6
Asolo 291 180 180 180 181 255 273 290 276 290 313 310 342 389 392
BorsodelGrappa 292 97 108 108 108 128 137 124 156 124 211 221 403 407 418
BredadiPiave 293 0 0 0 0 3 3 60 60 60 89 109 106 106 128
CaeranodiSanMarco 294 73 79 83 83 83 106 110 115 110 123 93 93 93 98
CappellaMaggiore 295 0 0 4 4 0 7 2 0 2 0 0 2 14 12
Carbonera 296 0 0 0 0 0 2 2 2 2 2 6 6 8 6
CasalesulSile 297 25 25 25 68 71 96 93 117 93 131 127 124 121 113
Casier 298 22 22 22 22 34 34 34 34 34 62 62 84 140 94
Castelcucco 299 53 38 57 59 66 66 74 66 74 63 69 65 70 43
CastelfrancoVeneto 300 422 422 422 435 436 462 497 502 497 580 585 594 588 650
CastellodiGodego 301 12 12 27 27 27 27 27 67 27 59 89 94 94 94
CavasodelTomba 302 20 14 42 36 40 48 44 14 44 140 140 147 147 147
Cessalto 303 38 38 38 38 38 37 37 37 37 37 43 44 44 50
Chiarano 304 3 0 0 0 0 0 0 0 0 16 20 20 20 18
Cimadolmo 305 10 10 10 14 14 13 17 10 17 10 17 17 17 17
CisondiValmarino 306 125 17 25 31 43 130 132 140 132 228 229 223 233 226
Codognè 307 10 10 10 16 16 16 16 27 16 58 121 125 125 125
ColleUmberto 308 7 24 23 23 23 23 23 23 23 53 55 55 55 55
Conegliano 309 461 461 451 469 475 494 488 584 488 584 646 670 661 675
Cordignano 310 21 21 21 21 23 23 23 23 23 23 23 23 19 48
Cornuda 311 7 0 25 0 4 4 5 0 5 60 60 55 55 55
CrespanodelGrappa 312 221 207 211 221 170 166 161 115 161 139 127 127 172 172
CrocettadelMontello 313 18 18 26 30 26 30 30 20 30 89 83 83 76 80
FarradiSoligo 314 155 155 167 167 149 165 181 206 181 224 254 228 131 221
Follina 315 135 123 135 201 207 243 266 268 266 265 265 266 266 272
Fontanelle 316 0 0 0 0 0 0 6 4 6 10 10 10 10 10
Fonte 317 54 54 54 6 6 65 11 18 11 25 25 20 29 35
Fregona 318 43 34 43 52 50 56 43 43 43 48 56 56 53 53
Gaiarine 319 0 0 0 0 0 0 0 0 0 0 12 12 12 24
GiaveradelMontello 320 4 0 0 0 0 0 6 6 6 8 8 8 18 22
GodegadiSant'Urbano 321 25 25 25 25 27 27 34 38 34 38 38 38 38 91
GorgoalMonticano 322 50 52 52 52 52 51 50 50 50 75 76 98 98 98
Istrana 323 17 17 17 17 17 16 16 22 16 54 54 57 57 57
Loria 324 18 18 18 18 18 18 18 18 18 18 18 20 24 25
Mansuè 325 0 0 0 0 14 20 20 20 20 18 18 26 26 25
MarenodiPiave 326 0 0 0 0 0 8 14 14 14 44 44 46 35 35
Maser 327 0 0 0 0 4 12 27 41 27 65 71 75 79 83
MaseradasulPiave 328 25 25 25 25 25 25 25 30 25 30 33 35 47 44
MedunadiLivenza 329 37 37 37 37 37 37 37 37 37 37 37 37 37 37
Miane 330 16 8 12 20 34 34 33 35 33 71 68 77 80 77
MoglianoVeneto 331 519 435 532 550 642 661 692 695 692 803 817 745 819 860
MonastierdiTreviso 332 357 357 357 357 357 357 340 340 340 354 380 368 360 360
Monfumo 333 17 0 17 17 17 23 21 2 21 21 53 51 37 51
Montebelluna 334 232 243 243 241 225 225 269 274 269 310 354 329 332 333
Morgano 335 8 0 0 0 0 0 0 0 0 0 0 2 2 13
MoriagodellaBattaglia 336 10 10 10 10 15 15 15 15 15 10 14 14 14 18
MottadiLivenza 337 90 67 100 100 100 100 100 112 100 132 177 178 165 178
NervesadellaBattaglia 338 0 0 0 9 9 20 20 19 20 91 86 86 101 103
Oderzo 339 195 186 195 199 203 221 268 224 268 284 313 348 355 362
Ormelle 340 0 0 0 0 0 0 0 3 0 4 4 4 4 4
Orsago 341 25 25 25 25 25 25 25 25 25 30 39 39 14 43
PadernodelGrappa 342 38 21 38 25 166 148 147 148 147 191 211 115 143 139
Paese 343 56 56 56 60 60 63 64 66 64 90 88 89 90 98
Pederobba 344 4 4 4 15 11 17 12 2 12 16 21 29 26 35
PievediSoligo 345 238 240 240 244 244 245 237 245 237 255 271 286 298 283
PontediPiave 346 158 148 158 158 176 156 176 181 176 265 270 261 283 228
